,Unnamed: 0,Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Museum,Unique Name,Catalog Link,Kategori,Storlek,Antal,Datering,Tidsperiod,Föremålsnummer,Historisk plats,Förvärvsnummer,Omnämns i katalog,Förvärvsmetod,Fyndplats,Arkeologisk kontext,Kontextnamn,Undersökare,Undersökningsår,Antal fragment,Föremålsbenämning_Translated,Föremålsnr._Translated,Andra nummer_Translated,Material_Translated,Plats_Translated,Fornlämning_Translated,Socken_Translated,Landskap_Translated
10,10,Tveeggat svärd,263028_HST,34000.0,Undernummer: Bj 520,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,520,Historiska museet,Tveeggat svärd - 11,https://samlingar.shm.se/object/2748D4D2-4CA8-4ECB-9226-8215077FBF4A,Vapen och rustningar  Arkeologisk samling,,1,800 – 1100,Vikingatid,263028_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Stensättning: 520",Bj 520,"Stolpe, Hjalmar",1877,,Tveeggat svärd,263028_HST,Undernummer: Bj 520,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland
11,11,Tveeggat svärd,263029_HST,34000.0,Undernummer: Bj 561,"Järn, Trä, Silver, Koppar","Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,561,Historiska museet,Tveeggat svärd - 12,https://samlingar.shm.se/object/40B4E731-85E6-4C54-BBF2-D797682CA77D,Vapen och rustningar  Arkeologisk samling,Längd 88 cm  Bredd 9.6 cm,1,800 – 1100,Vikingatid,263029_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 561",Bj 561,"Stolpe, Hjalmar",1878,,Tveeggat svärd,263029_HST,Undernummer: Bj 561,"Järn, Trä, Silver, Koppar","Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland
12,12,Tveeggat svärd,262860_HST,5889.0,FID: 262860,Järn,Harby,,Ljungby socken (Kr),Småland,Sverige,,,Historiska museet,Tveeggat svärd - 13,https://samlingar.shm.se/object/F32DB661-1873-4022-8295-A1BA860B4EBA,Arkeologisk samling  Vapen och rustningar,Längd 86 cm  Bredd 9 cm,1,800 – 1100,Vikingatid,262860_HST,,5889,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=5889,,"Plats: Harby, Socken: Ljungby socken (Kr), Kommun: Kalmar kommun, Landskap: Småland, Land: Sverige",,,,,,Tveeggat svärd,262860_HST,FID: 262860,Järn,Harby,nan,Ljungby socken (Kr),Småland
13,13,Svärd Petersen E,262862_HST,20112.0,FID: 262862,"Järn, Silver, Koppar",Bredaryd Södergård,,Bredaryd socken,Småland,Sverige,,,Historiska museet,Svärd Petersen E - 14,https://samlingar.shm.se/object/3C573629-031A-429A-AACC-507E9593F79B,Vapen och rustningar  Arkeologisk samling,Längd 79 cm  Bredd 9.1 cm,1,800 – 1100,Vikingatid,262862_HST,,20112,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=20112,,"Plats: Bredaryd Södergård, Socken: Bredaryd socken, Kommun: Värnamo kommun, Landskap: Småland, Land: Sverige",,,,,,Svärd Petersen E,262862_HST,FID: 262862,"Järn, Silver, Koppar",Bredaryd Södergård,nan,Bredaryd socken,Småland
14,14,Tveeggat svärd,262930_HST,7097.0,FID: 262930,"Järn, Silver",Björkö,,Adelsö socken,Uppland,Sverige,,,Historiska museet,Tveeggat svärd - 15,https://samlingar.shm.se/object/18696031-632C-448D-A0C8-7CE0AA24FF99,Vapen och rustningar  Arkeologisk samling,Längd 61 cm  Bredd 10 cm,1,800 – 1100,Vikingatid,262930_HST,"Birka, Adelsö socken",7097,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=7097,Köp,"Plats: Björkö, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",,,,,2,Tveeggat svärd,262930_HST,FID: 262930,"Järn, Silver",Björkö,nan,Adelsö socken,Uppland
15,15,Tveeggat svärd,263051_HST,34000.0,Undernummer: Bj 524,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,524,Historiska museet,Tveeggat svärd - 16,https://samlingar.shm.se/object/FCE5062B-CB90-4D01-8F22-EDADA74F1AB4,Vapen och rustningar  Arkeologisk samling,Längd 87 cm  Längd 8.5 cm,1,800 – 1100,Vikingatid,263051_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 524",Bj 524,"Stolpe, Hjalmar",1877,,Tveeggat svärd,263051_HST,Undernummer: Bj 524,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland
16,16,Tveeggat svärd,263127_HST,10175.0,FID: 263127,Järn,Svanby,,Tierp socken,Uppland,Sverige,,,Historiska museet,Tveeggat svärd - 17,https://samlingar.shm.se/object/C275CBDF-3463-430D-9A4A-2EE48BCE63C7,Vapen och rustningar  Arkeologisk samling,Längd 73 cm,1,800 – 1100,Vikingatid,263127_HST,,10175,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=10175,,"Plats: Svanby, Socken: Tierp socken, Kommun: Tierp kommun, Landskap: Uppland, Land: Sverige",,,,,,Tveeggat svärd,263127_HST,FID: 263127,Järn,Svanby,nan,Tierp socken,Uppland
17,17,Tveeggat svärd,263200_HST,34000.0,Undernummer: Bj 644,"Järn, Silver, Koppar","Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,644,Historiska museet,Tveeggat svärd - 18,https://samlingar.shm.se/object/48F300F4-D3A7-4ECD-BFC7-D95FC46CF2F9,Vapen och rustningar  Arkeologisk samling,Längd 70 cm  Bredd 9.5 cm,1,800 – 1100,Vikingatid,263200_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 644",Bj 644,"Stolpe, Hjalmar",1878,,Tveeggat svärd,263200_HST,Undernummer: Bj 644,"Järn, Silver, Koppar","Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland
18,18,Svärd Petersen H/I,263580_HST,20221.0,FID: 263580,"Järn, Koppar",Backa,L2002:2399,Västerfärnebo socken,Västmanland,Sverige,Hög,,Historiska museet,Svärd Petersen H/I - 19,https://samlingar.shm.se/object/8EEAA70C-DCAE-4AF1-A9AC-DB44F57AE24D,Vapen och rustningar  Arkeologisk samling,Vikt 1293.5 g  Längd 330 mm  Bredd 175 mm,1,800 – 1100,Vikingatid,263580_HST,,20221,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=20221,,"Plats: Backa, Fornlämning: L2002:2399, Socken: Västerfärnebo socken, Kommun: Sala kommun, Landskap: Västmanland, Land: Sverige",Hög,,,,,Svärd Petersen H/I,263580_HST,FID: 263580,"Järn, Koppar",Backa,L2002:2399,Västerfärnebo socken,Västmanland
19,19,Svärd Petersen H,264614_HST,9439.0,FID: 264614,Järn,,,Adelsö socken,Uppland,Sverige,,,Historiska museet,Svärd Petersen H - 20,https://samlingar.shm.se/object/A2CFC996-93BD-452A-A4AC-7E82E5FDA6E5,Vapen och rustningar  Arkeologisk samling,Längd 38 cm  Bredd 8 cm,1,800 – 1100,Vikingatid,264614_HST,,9439,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=9439,,"Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",,,,,1,Svärd Petersen H,264614_HST,FID: 264614,Järn,nan,nan,Adelsö socken,Uppland
20,20,Ringbrynja,268518_HST,5208.0,Undernummer: 30,Cu-legering,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland,Sverige,,,Historiska museet,Ringbrynja - 21,https://samlingar.shm.se/object/6A86FF18-65CE-4E1A-9EE6-63524043DB24,Vapen och rustningar  Arkeologisk samling,,1,800 – 1100,Vikingatid,268518_HST,"Birka, Adelsö socken",5208,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=5208,KML,"Plats: Björkö, Svarta jorden, Fornlämning: L2017:1568, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",,,"Stolpe, Hjalmar",,,Ringbrynja,268518_HST,Undernummer: 30,Cu-legering,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland
21,21,Svärd,269147_HST,5208.0,Undernummer: 542,Ben/Horn,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland,Sverige,,,Historiska museet,Svärd - 22,https://samlingar.shm.se/object/A913E846-A0F7-4289-A270-F0BD7CD10ACE,Vapen och rustningar  Arkeologisk samling,,1,800 – 1100,Vikingatid,269147_HST,"Birka, Adelsö socken",5208,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=5208,KML,"Plats: Björkö, Svarta jorden, Fornlämning: L2017:1568, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",,,"Stolpe, Hjalmar",,,Svärd,269147_HST,Undernummer: 542,Ben/Horn,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland
22,22,Svärd Petersen H/I,268659_HST,5208.0,Undernummer: 248,Järn,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland,Sverige,,,Historiska museet,Svärd Petersen H/I - 23,https://samlingar.shm.se/object/9D7B26B0-7E64-484D-AC37-3A94E84954A4,Vapen och rustningar  Arkeologisk samling,,1,800 – 1100,Vikingatid,268659_HST,"Birka, Adelsö socken",5208,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=5208,KML,"Plats: Björkö, Svarta jorden, Fornlämning: L2017:1568, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",,,"Stolpe, Hjalmar",,,Svärd Petersen H/I,268659_HST,Undernummer: 248,Järn,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland
23,23,Svärd Petersen H/I,268661_HST,5208.0,Undernummer: 250,Järn,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland,Sverige,,,Historiska museet,Svärd Petersen H/I - 24,https://samlingar.shm.se/object/DA60441F-E27C-4845-B5E1-DEE4A187245A,Vapen och rustningar  Arkeologisk samling,,1,800 – 1100,Vikingatid,268661_HST,"Birka, Adelsö socken",5208,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=5208,KML,"Plats: Björkö, Svarta jorden, Fornlämning: L2017:1568, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",,,"Stolpe, Hjalmar",,,Svärd Petersen H/I,268661_HST,Undernummer: 250,Järn,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland
24,24,Yxa Petersen H,268764_HST,5208.0,Undernummer: 302,Järn,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland,Sverige,,,Historiska museet,Yxa Petersen H - 25,https://samlingar.shm.se/object/70DAB2FC-42A0-47E2-A4AE-E46D44336F09,Vapen och rustningar  Arkeologisk samling,Vikt 954.5 g  Längd 200 mm  Bredd 100 mm,1,800 – 1100,Vikingatid,268764_HST,"Birka, Adelsö socken",5208,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=5208,KML,"Plats: Björkö, Svarta jorden, Fornlämning: L2017:1568, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",,,"Stolpe, Hjalmar",,,Yxa Petersen H,268764_HST,Undernummer: 302,Järn,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland
25,25,Yxa Petersen C,268771_HST,5208.0,Undernummer: 309,Järn,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland,Sverige,,,Historiska museet,Yxa Petersen C - 26,https://samlingar.shm.se/object/AF82AD70-F491-4694-9B26-B919BCC8A7E7,Vapen och rustningar  Hantverk och redskap  Arkeologisk samling,,1,800 – 1100,Vikingatid,268771_HST,"Birka, Adelsö socken",5208,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=5208,KML,"Plats: Björkö, Svarta jorden, Fornlämning: L2017:1568, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",,,"Stolpe, Hjalmar",,,Yxa Petersen C,268771_HST,Undernummer: 309,Järn,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland
26,26,Svärd,269149_HST,5208.0,Undernummer: 544,Ben/Horn,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland,Sverige,,,Historiska museet,Svärd - 27,https://samlingar.shm.se/object/EFC6077F-6271-4FBA-B936-6254E0B5EF20,Vapen och rustningar  Arkeologisk samling,,1,800 – 1100,Vikingatid,269149_HST,"Birka, Adelsö socken",5208,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=5208,KML,"Plats: Björkö, Svarta jorden, Fornlämning: L2017:1568, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",,,"Stolpe, Hjalmar",,,Svärd,269149_HST,Undernummer: 544,Ben/Horn,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland
27,27,Svärd,269151_HST,5208.0,Undernummer: 546,Ben/Horn,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland,Sverige,,,Historiska museet,Svärd - 28,https://samlingar.shm.se/object/5D3CACD5-8B90-4AB9-AABC-2D91F1DEF0B5,Vapen och rustningar  Arkeologisk samling,,1,800 – 1100,Vikingatid,269151_HST,"Birka, Adelsö socken",5208,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=5208,KML,"Plats: Björkö, Svarta jorden, Fornlämning: L2017:1568, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",,,"Stolpe, Hjalmar",,,Svärd,269151_HST,Undernummer: 546,Ben/Horn,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland
28,28,Svärd,94759_HST,17343.0,Undernummer: 2200,Järn,Nässeved,,Undersåker socken,Jämtland,Sverige,,,Historiska museet,Svärd - 29,https://samlingar.shm.se/object/61E6D5D4-99CE-46CA-87CB-D32B897A1E08,Vapen och rustningar  Arkeologisk samling,Längd 750 mm  Längd 20 mm  Bredd 120 mm  Tjocklek 23 mm,1,800 – 1100,Vikingatid,94759_HST,,17343,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=17343,,"Plats: Nässeved, Fastighet: Hjerpen, Socken: Undersåker socken, Kommun: Åre kommun, Landskap: Jämtland, Land: Sverige",,,,,,Svärd,94759_HST,Undernummer: 2200,Järn,Nässeved,nan,Undersåker socken,Jämtland
29,29,Rundsköld,107823_HST,34000.0,Undernummer: Bj 750,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,750,Historiska museet,Rundsköld - 30,https://samlingar.shm.se/object/1D1DB077-E65D-4565-A792-7DB74C230C10,Vapen och rustningar  Arkeologisk samling,,1,800 – 1100,Vikingatid,107823_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 750",Bj 750,"Stolpe, Hjalmar",1879,,Rundsköld,107823_HST,Undernummer: Bj 750,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland
30,30,Yxa Petersen F,107824_HST,34000.0,Undernummer: Bj 750,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,750,Historiska museet,Yxa Petersen F - 31,https://samlingar.shm.se/object/F2BCA591-02C2-4E90-96B6-6B73E274C65A,Vapen och rustningar  Arkeologisk samling,,1,800 – 1100,Vikingatid,107824_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 750",Bj 750,"Stolpe, Hjalmar",1879,,Yxa Petersen F,107824_HST,Undernummer: Bj 750,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland
31,31,svärdsskida,107825_HST,34000.0,Undernummer: Bj 750,"Cu-legering, Trä","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,750,Historiska museet,svärdsskida - 32,https://samlingar.shm.se/object/C1A0693F-6439-46DB-B899-D4A33A7E1E42,Vapen och rustningar  Arkeologisk samling,,1,800 – 1100,Vikingatid,107825_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 750",Bj 750,"Stolpe, Hjalmar",1879,,svärdsskida,107825_HST,Undernummer: Bj 750,"Cu-legering, Trä","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland
